ID,Theme,Year,Licensed,Pieces,Minifigs,Price
60137,City,2017,0,144,3,19.99
60139,City,2017,0,374,4,49.99
60142,City,2017,0,138,2,19.99
60144,City,2017,0,89,1,9.99
60147,City,2017,0,144,2,19.99
31057,Creator,2017,0,102,0,9.99
31060,Creator,2017,0,246,0,19.99
31065,Creator,2017,0,566,2,49.99
31068,Creator,2017,0,386,2,29.99
70623,Ninjago,2017,0,360,3,29.99
70625,Ninjago,2017,0,428,4,49.99
75162,StarWars,2017,1,90,1,9.99
75164,StarWars,2017,1,120,4,14.99
75167,StarWars,2017,1,122,4,14.99
75168,StarWars,2017,1,262,2,24.99
75169,StarWars,2017,1,208,3,24.99
75171,StarWars,2017,1,419,4,49.99
70349,NexoKnights,2017,0,208,3,19.99
70352,NexoKnights,2017,0,840,7,89.99
0,City,2018,0,37,2,6.99
0,City,2018,0,88,4,9.99
0,City,2018,0,297,3,39.99
0,City,2018,0,87,1,9.99
0,City,2018,0,344,3,29.99
0,City,2018,0,127,1,19.99
0,City,2018,0,883,6,99.99
0,Creator,2018,0,109,0,9.99
0,Creator,2018,0,241,0,19.99
0,Creator,2018,0,200,1,19.99
0,Creator,2018,0,379,2,34.99
0,Classic,2018,0,186,1,9.99
0,Classic,2018,0,871,3,59.99
0,Classic,2018,0,213,0,19.99
0,NexoKnights,2018,0,191,3,19.99
0,NexoKnights,2018,0,506,3,39.99
0,NexoKnights,2018,0,604,4,59.99
0,JurassicWorld,2018,1,577,3,79.99
0,Friends,2018,0,86,1,9.99
0,Friends,2018,0,163,1,14.99
0,Friends,2018,0,210,1,19.99
0,Friends,2018,0,460,2,44.99
0,Friends,2018,0,722,3,69.99
0,StarWars,2018,1,1967,0,199.99
0,StarWars,2018,1,92,1,9.99
0,StarWars,2018,1,97,4,14.99
